line_no	type	sample
10760	敏感词:王大	“我，我想起来了！王老汉其实还有一个媳妇，就是王大的老婆。但是王大失踪之后，那婆娘也殉情死了，那一年，山寨上面还特意送下来一个贞洁牌坊呢。不过我听说，其实王大的老婆想要改嫁，是被王老汉逼死的。大人您杀了王老汉，是除暴安良，为民造福啊。”
10832	敏感词:王二	“只是学弟啊，你还没有从学堂走出来，没有学长我的这身蛊师的衣裳。否则那王二看见这身衣裳，就知道你蛊师的身份，又怎么会冒犯你呢？学弟你是个聪明人，你说是不是，呵呵。”江鹤又道。
11116	敏感词:漠北	“算了，书虫向来数量稀少，短时间之内空想也得不到。其实说起来，重生之后我如今的处境，比前世同期不知道要好上多少倍了。前世这个时候，我还在一转初阶，而其他人诸如方正、赤城、漠北，都已经到了高阶，远远地把我甩在身后了。”方源不是那种钻牛角尖的人
11128	敏感词:漠尘	蛊师的前期修行，算是比较容易，短时间之内就能看到效果的。尤其是古月方正、古月漠尘还有古月赤城这三人，其修为已经有隐隐反超方源的架势。
11202	敏感词:漠北	“哼，居然是输给方正了。”古月漠北坐在位置上，抱着双臂，有些不甘心。
11212	敏感词:漠北	“是啊，连漠北、赤城还有方源，都败给了方正。方正这下子独领风骚了。”
11306	敏感词:漠北	“你说方源此次勒索学员，虽然打败了方正、赤城还有漠北三人，但是却放过了他们，没有收取他们的元石？”听到侍卫的禀告，学堂长老露出了微微诧异的表情。
11320	敏感词:漠北	但是他没有想到的是，方源此次不仅没有打这三十块元石的主意，还主动放过了漠北、赤城还有方正三人。
11322	敏感词:漠北	“方源有数百块的元石在身，也许看不上这三十块元石，这可以理解。但是主送放弃勒索漠北、赤城还有方正，这是什么缘由？”
11328	敏感词:漠北	漠北、赤城、方正这三人，可以说代表着家族的三大势力。方源放过这三人，意义不言而喻，是主动向这三大势力示好。这亦可以理解为，方源心理的转变，他想要对家族低头的信号。
11374	敏感词:漠尘	古月漠尘面色激动，双目炯炯，心神完全沉浸在了这场战斗当中。
11378	敏感词:漠尘	古月漠尘喘了粗气，也一屁股坐倒在地上，浑身上下都是泥土或者青色的草屑，同时还有淋漓的大汗。
11412	敏感词:漠北	那蛊师立即答道：“禀告大人，目前为止，古月方源、方正、漠北、赤城这四人名列前茅。其中赤城已经杀了三头野猪，方正、漠北斩了五头，方源最多，已经有八头的斩获。”
11420	敏感词:漠北	“我相信接下来，方正、漠北、赤城这三人定会超过他。虽然他有酒虫，但是真元的恢复速度，还远远不是甲等、乙等学员的对手。”
11424	敏感词:漠北	“你下去罢。”学堂家老则对跪在地上的蛊师挥手，“叮嘱其他人，一定要做好防护工作。尤其是方正、赤城、漠北这三人的安全，需要严格的注意！”
11536	敏感词:王二	一个猎手说：“王二哥，要我说你过年也十九了，这么大也该娶个老婆生娃子了。”
11538	敏感词:王二	王二却道：“哼，男子汉大丈夫，怎么能贪图这点小小的美色！总有一天，我要走出这个青茅山，外出闯荡，见识天下，才不愧是我这男人身！”
11540	敏感词:王二	第二次，是自己动手之后，王二的异常镇定。他弯弓搭箭，直指方源。而其他三人则已经在求饶了。
11546	敏感词:王大	有个猎手答道：“王猎头原本有个婆娘，但是十多年前，就被闯入村中的野狼给杀了。他婆娘死之前，给王老头生了两男一女。但是大儿子王大，在三年前打猎，死在了山上。王家没人了。”
11548	敏感词:王大	“我，我想起来了！王老汉其实还有一个媳妇，就是王大的老婆。但是王大失踪之后，那婆娘也殉情死了，那一年，山寨上面还特意送下来一个贞洁牌坊呢。不过我听说，其实王大的老婆想要改嫁，是被王老汉逼死的。大人您杀了王老汉，是除暴安良，为民造福啊。”
11554	敏感词:王二	大儿子王二，在三年前打猎，死在了山上……
11556	敏感词:王大	王大的媳妇，想要改嫁，被王老汉逼死，得了一个贞节牌坊……
11562	敏感词:王二	王二年纪轻轻，面对蛊师却很镇定。同时不娶妻，心中有超越凡人层次的壮志……
11576	敏感词:王大	“王大，并没有死。”
11590	敏感词:王大	“因为某种机缘，可能性最大的是在某个蛊师尸体上，得到了一笔遗产，王大在三年前成了一名蛊师。为了掩人耳目，他放出死亡的假消息，实际上根本没有人见到过他的尸体。王老汉一家知道这件事情之后，就搬出了村子，冒着被野兽侵袭的风险而离群索居，为的就是继
11592	敏感词:王大	“但是其中出现了一些分歧，王大的妻子不同意，也许是想要上报古月山寨。王家就只好将这妻子杀害，又故意放出一些似真似假的小道消息。什么想要改嫁，什么逼死之类的，将真相牢牢地掩盖在这些流言蜚语之下。”
11594	敏感词:王大	“王大每隔一段时间，会回家居住。王老汉就赶走那些上门求教经验的年轻人。王二和哥哥王大相处之后，对蛊师的惧怕之情渐渐消除，自然而然地生出了自己也要成为蛊师，外出闯荡的雄心壮志！”
11594	敏感词:王二	“王大每隔一段时间，会回家居住。王老汉就赶走那些上门求教经验的年轻人。王二和哥哥王大相处之后，对蛊师的惧怕之情渐渐消除，自然而然地生出了自己也要成为蛊师，外出闯荡的雄心壮志！”
11596	敏感词:王大	“因为担心王大的行迹泄露出去，王二这么大的年纪，都没有冒然娶妻。王大并不能总在家中居住，所以王老汉在兽皮地图上画着三个红圈，这三个地方，应该都是这样的隐秘居所。狡兔三窟，王大就在这些住处轮流居住，生活在三大山寨的势力夹缝之中。”
11596	敏感词:王二	“因为担心王大的行迹泄露出去，王二这么大的年纪，都没有冒然娶妻。王大并不能总在家中居住，所以王老汉在兽皮地图上画着三个红圈，这三个地方，应该都是这样的隐秘居所。狡兔三窟，王大就在这些住处轮流居住，生活在三大山寨的势力夹缝之中。”
11602	敏感词:王大	“也许每年的固定时间，王大都要回家居住一段时间。他回来之后，看到家人都死了。秘密打听之后，就查出了我，所以墙上用匕首钉着我的画像，就是为了找我报仇！”
11610	敏感词:王二	他先杀王二，后杀王老汉、王家妹子，是为了更直接的得到兽皮地图。王老汉是附近村庄中第一的猎人，他的兽皮地图当然最有价值。
11620	敏感词:王大	如果他当时心慈手软，想要获得王家的兽皮地图，王二、王老汉、王家妹子都将是巨大的阻力。他们为了保护王大的秘密，绝对不会掏出真品。
11620	敏感词:王二	如果他当时心慈手软，想要获得王家的兽皮地图，王二、王老汉、王家妹子都将是巨大的阻力。他们为了保护王大的秘密，绝对不会掏出真品。
11622	敏感词:王二	王二的战力，已经能灭杀一般的一转高阶蛊师。王老汉更是老而弥辣，真正厮杀的话，比王二的威胁还要更大。
11624	敏感词:王大	就算是得了真品，王老汉将详情告知王大，王大会立即得知方源的准确信息。不管他怎么处理，他在暗方源在明，主动权都牢牢地掌握在他的手中。
11626	敏感词:王大	“幸亏自己一动手就杀人！不管如何，一直将局面掌控在了自己手中。这样一来，哪怕最终得不到真品，自己也没有损失，还可以再抢其他猎户的。而且干脆利落地杀了王老汉和那丫头，让这王大耗费时间搜集自己的情报。不用说了，那活下来的两个年轻猎户，一定已经被
11628	敏感词:王大	知情者只有几个，王大不会对江鹤动手，江鹤一死，族内就会派遣人手调查。而那两个猎户在山上失踪的话，就很好操作。江鹤为了族内关于自己的评价，也不会暴露这种事情，反而会替王大遮掩。
11638	敏感词:王大	凭借着前世经验积累出来的智慧，方源察觉到了王大的存在，
11640	敏感词:王大	那么王大的实力是如何的呢？
11642	敏感词:王大	方源没有见过这个王大一面，但是单凭眼前的这些东西，就足以让他分析出很多情报来。
11656	敏感词:王大	方源虽然没有任何侦测类的蛊虫，但是凭借自身的经验和智慧，硬生生地将王大的修为和蛊虫，都大致地分析了出来。
11674	敏感词:王大	“王大想要杀我，那么现在这次年中考核，绝对是一个大好良机。平常的时候，学员们都居住在山寨当中，凭他二转修为，不可能潜入山寨，那是纯粹找死。”
11716	敏感词:王大	“那么该往哪里走，才能将遭遇王大的可能减少到最小？”方源的脑海中浮现出一张地图。
11718	敏感词:王大	“王大已经知道我有了兽皮地图，现在他应该潜伏在山林当中，按照地图上野猪的分布，在四处寻找我。我不能去这些地方，只有反其道而行，才能搏出一线生机。”想到这里，一个略显疯狂的撤退路线，在方源的脑海中隐约成形。
11726	敏感词:王大	“方源，终于让我找到你了……”王大咬着牙齿，在肚子里撕吞咀嚼这个名字。
11730	敏感词:王大	仇人近在眼前，但是王大却没有动手，而是将目光隐晦地转向其他几个位置。
11736	敏感词:王大	王大小心翼翼地在这片山林中潜行穿梭，已经收集到了不少相关的情报。
11742	敏感词:王大	“幽影随行蛊。”王大慢慢地闭起双眼，心中默念一声。
11760	敏感词:王大	王大如毒蛇扑食的瞬间，闪电般出手！
11770	敏感词:王大	“总共用了一成真元，还剩下四成。”王大留神了一下空窍，没有停留，再次融化为一团黑暗。
11772	敏感词:王大	片刻之后，隐蔽在山石后的第二位蛊师，也惨遭王大的毒手。他的瞳孔缩成针尖大小，倒在了地上。
11776	敏感词:王大	“还剩三成真元。”王大默念一声，身形又再次化为了一团黑暗。
11778	敏感词:王大	“什么人！”第三位蛊师隐蔽在一棵大树的树枝上，他在关键时刻察觉到了不对劲，在王大动手之时，猛地转身，两只手牢牢架住王大的两只毒手。
11780	敏感词:王大	“该死！”王大狞笑一声，十片指甲猛地疯长起来，在瞬间伸长五厘米，插进蛊师的前臂，刺破他的皮肤。
11792	敏感词:王大	一道月刃闪出，正中王大的左肩，然而从他的后背穿射而出。
11796	敏感词:王大	王大闷哼一声，身体摇晃了几下，而这蛊师却已经双眼翻白，再无一丝气息。
11798	敏感词:王大	“没错，这就是爱别离……”王大在结实的树枝上，摇晃地站起来，露出一丝惨笑。
11802	敏感词:王大	为了炼成这只蛊虫，王大亲手杀死了深爱自己的妻子，挖出了她的心！
11804	敏感词:王大	“一切为了生存，只好选择力量……这就是我魔道的觉悟！”王大双目赤红，紧紧地盯着远处的少年。
11814	敏感词:王大	“杀！”王大低吼一声，猛地从树梢上凌空飞扑而下。
11818	敏感词:王大	“怎么还有第四位蛊师？”王大心头猛地一沉，在半空中强行扭转身躯，险险地避过其中的两道月刃，还剩下一道，实在避免不过，正中他的左腿。
11822	敏感词:王大	王大砸落到地上，低头看了一眼自己的左腿，左腿上一道伤口又深且长，已经是鲜血淋漓。
11824	敏感词:王大	“可恶……”王大咬牙切齿，心头一动，“幽影随行蛊！”
11838	敏感词:王大	“啊！”王大发出一声惨嚎，身体所化的黑影在白光的照耀下，无所遁形，顿时又将他打回原状。
11840	敏感词:王大	闪光蛊虽然只有一转，同时是消耗型蛊虫。但它正克王大的幽影随行蛊，一旦黑影被白炽闪光照射消除，二转的幽影随行蛊必须要修养三个小时，才能继续使用。
11844	敏感词:王大	王大被克制之后，顿时一颗心沉入了谷底。
11846	敏感词:王二	这第四个蛊师显然老辣一筹，不晓得用了何种蛊虫，一直隐蔽着，实在是一个劲敌。更关键是他王二暂时使用不了幽影随行蛊，这等若是没了退路。
11848	敏感词:王大	“老夫乃古月叟，小子，你若现在就束手就擒，兴许我族还能饶你一命！”一个白发银须的二转蛊师，出现在王大的视野中。
11850	敏感词:王大	“绕我一命，哼，我先杀了你！”王大心知若被拖延，接下来必定会有更多的蛊师围剿过来。他必须尽快解决掉这第四个蛊师。
11852	敏感词:王大	“我的真元只剩下两成，不管是报仇还是保命，先得杀了这碍事老头！”王大强振精神，扑向古月叟。
11856	敏感词:王大	王大看到这个变化，顿时脸色一变。这个经验老道的蛊师，就像是一只刺猬，让他王大有一种无从下手的感觉。
11860	敏感词:王大	王大只有爱别离和幽影随行蛊这两只蛊虫，若有一只防御性的蛊虫，他刚刚也不会直接就中了月刃。
11862	敏感词:王大	“哼，你对付不了你，就先杀方源！”王大也不笨，三年来的生活，让他狡黠又狠辣。
11866	敏感词:王大	“休想！”古月叟催动真元，一身的针刺发衣，顿时伸出两个发髻尖锥，螺旋一般旋转，顷刻之间，拉出五六米，向王大射去。
11868	敏感词:王大	王大身形一矮，与两个雪白发刺险之又险地擦身而过。
11872	敏感词:王大	“死吧！”王大已经战到疯狂，狰狞大笑，他迅速接近目标。
11876	敏感词:王大	嗜血的杀机，已经充斥王大的脑海。他似乎都能听到，自己刺中方源的皮肤，后者不甘心的咽气声。
11880	敏感词:王大	眼看着就要成功，忽然一个身影闪现，挡在了王大前进的路上。
11884	敏感词:王大	“竟是爱别离？”这是个中年男子，面对这王大猛烈疯狂的冲势，面色坚毅不动。
11890	敏感词:王大	双方越冲越近，王大的神情疯狂而扭曲，中年蛊师则一脸深沉，伸出双臂，张开大手，向王大抓来。
11892	敏感词:王大	“这么慢也想抓住我？”王大不由地露出讥讽的神情。
11894	敏感词:王大	中年蛊师的双臂，已经裹了一层十分厚实的石皮，就算是他王大的指甲也不能洞穿。但是这对石臂因为太沉重，速度太慢了。王大觉得自己完全可以轻松闪避开来。
11900	敏感词:王大	“怎么会……呃！”王大脸上一片惊愕，被石臂扫中，顿时横飞出去。
11902	敏感词:王大	中年蛊师战斗经验十分丰富，若是刚开始就是用蜂蛊碧风轮，王大还不至于如此轻易地中招。
11904	敏感词:王大	王大被沉重的石臂扫飞，跌到地面上，摔得七荤八素。中招的胸口，一阵沉闷。
11918	敏感词:王大	那老年蛊师已经赶来，浑身白发凝成一束束手指大小的螺旋尖针，尖针如灵蛇飞窜，延展五六米之远，从后面赶上，刺穿王大的身躯。
11920	敏感词:王大	但王大不管不顾，仍旧直冲出去。
11926	敏感词:王大	眼看着王大就要得手，不想对面忽然爆发出一阵蓝玉之光。
11932	敏感词:王大	王大十指如刀刃，向他刺来。爱别离虽然没有强攻的能力，但玉皮蛊到底是一转蛊虫，还抵挡不住王大的指甲。
11936	敏感词:王大	老年蛊师眼看着方正就要陨落，急得大叫，双目爆睁，更多的雪发尖针喷射而出，将洞穿王大的身躯洞穿。
11938	敏感词:王大	然后发针如蛇，先从王大的身后穿射到前胸，又缠绕上他的脖颈，他的双臂，他的双腿。
11940	敏感词:王大	滚烫的鲜血，从王大的身躯中喷涌出来，顷刻之间，就将白发染红。
11944	敏感词:王大	一股极其强烈的眩晕感袭来，王大惨笑一声，他知道死亡即将来临。
11952	敏感词:王大	“为什么？”他的妻子看着王大，娇美的容颜上浮现出错愕和不解，紧紧地凝视向王大的双眼。
11954	敏感词:王大	王大双眼通红，浑身颤抖，从牙关中挤出三个字：“对不起。”
11960	敏感词:王大	她想要伸出右手，在临死之前，最后一次抚摸王大的脸庞。
11968	敏感词:王大	自那以后，王大无数次的问自己。
11978	敏感词:王大	“如果一切重来，婉儿，我还会这么做的呀……”恣意的泪水在王大赤红的双眸中，喷涌而出。
11988	敏感词:王大	王大的十指刺穿了玉皮，深入一厘米，就再也不动了。
12032	敏感词:王大	不过，方源此次冒险来到这里，主要目的并不是猎杀这头野猪王。而是为了尽最大可能避开王大的仇杀。
12034	敏感词:王大	王大知道方源有兽皮地图，方源站在他的角度，将计就计。什么地方也不走，偏偏就往这野猪王的红叉标记地点。
12072	敏感词:王大	“王大要对我下手，报杀亲之仇。但是我发现了树屋之后，立即改变了路线，直冲野猪王而去。王大没有料到这点，和我错过，意外地找到了方正。他的情报来源只有那几个猎户，并不知道我有一个孪生弟弟。他把方正当做我，想要杀掉，但是却被周围保护的蛊师阻止。现
12074	敏感词:王大	方源眉头紧皱。王大成功逃脱，王大被俘虏，王大被击杀，这三种情况都将影响到他接下来的计划和安排。
12086	敏感词:漠北	学堂家老接过纸张，心不在焉地宣读道：“此次年中考核，成绩如下……古月赤城十六颗野猪牙，古月漠北十四颗野猪牙……”
12094	敏感词:漠北	最好的是古月赤城，达到十六颗。其次就是古月漠北，至于方正，有十颗。
12098	敏感词:漠北	古月漠北则很是不忿，竟然让古月赤城压了一头。
12114	敏感词:漠北	漠北等人看得眼珠子都是一瞪。
12150	敏感词:漠尘	“幽影虫、爱别离……这不像白家寨、熊家寨秘密培养出来的暗子。也许是外来的魔道蛊师，想要依附山寨，受到指示之后，为表忠心，就来刺杀方正。不管如何，反正对这事，其他两个山寨绝对脱不了干系。”古月漠尘冷声接道。
12156	敏感词:王大	王大消失了整整三年，音讯全无，在村民们心中早就死了，因此身份成迷。
12178	英文残留	[bookid=2570768,bookname=《网游之大禁咒师》]爽书，有闲情雅致的同学，可以去瞅瞅哦！C
12214	敏感词:漠尘	古月赤练沉思着：“我没有招揽方源，会是谁暗中帮助他？是漠尘那老家伙么，有些可能。虽然方源杀了他家的家奴，但家奴算什么，就算全死光了也不心疼。族长更有可能，他收容了古月方正，再将古月方源拉过去，这样对方正的掌控力就大了！只是……过往惯例，都是
12216	敏感词:漠尘	“也不算坏了规矩，但此举的确是打了擦边球。是谁这么看好方源，比我还看好他？”古月漠尘也在思索。
12222	敏感词:漠尘	方源被人提前招揽，这让古月漠尘也有一丝的猝不及防。
12224	敏感词:漠尘	古月博的目光，则主要集中在古月漠尘和古月赤练这两个当权家老的脸上。
12232	敏感词:漠尘	古月家族中，政治格局是三足鼎立。除了族长之外，就是古月赤练代表的赤脉，古月漠尘代表的漠脉。
12234	敏感词:漠尘	古月博心知肚明，自己没有招揽方源的举止。那么最大的嫌疑人，就是古月赤练和古月漠尘。
12240	敏感词:漠尘	学堂家老也在揣测，但是他一直保持中立，游离于政治斗争之外，因此他的思想却简单多了：“原来方源被某一个家老招揽，难怪他在勒索时，主动放过了方正、漠北和赤城。估计招揽他的不是族长，就是赤练或者漠尘家老。这是好事啊！这说明他已经认清了现实，初步融
12240	敏感词:漠北	学堂家老也在揣测，但是他一直保持中立，游离于政治斗争之外，因此他的思想却简单多了：“原来方源被某一个家老招揽，难怪他在勒索时，主动放过了方正、漠北和赤城。估计招揽他的不是族长，就是赤练或者漠尘家老。这是好事啊！这说明他已经认清了现实，初步融
12296	敏感词:王大	王大死了。
12302	敏感词:王大	江鹤说这话的时候，看着方源的目光十分意味深长。他后来见过了王大的尸体，自然就认出了他的身份。
12304	敏感词:王大	但是他不敢说出王大的真实身份。
12308	敏感词:王大	王大成为魔道蛊师三年多，他身为驻村蛊师却一直不察，真要追究下来，就是他履历的一大污点，在家族中几乎前途就毁了。
12328	敏感词:漠北	在古月方正、古月漠北之后，方源几乎和赤城同时，顺利地晋升到一转高阶。
12330	敏感词:漠北	虽然抢劫勒索仍然在继续，但他从此不再抢方正、漠北和赤城三人的元石，他越来越低调，自身的实力也在以超越前世数倍的速度，快速增长着。
12510	英文残留	[bookid=2551986,bookname=《神帝》]
12626	敏感词:王大	距离王大刺杀，已经过去了两个多月了。
12754	敏感词:漠北	资质所限，他修行所耗费的元石，要远比方正、赤城还有漠北要多得多。
12824	敏感词:漠北	“赤城是一转巅峰了，不晓得漠北是不是？他们俩可是死对头啊。”
12828	敏感词:漠北	“哼！”古月漠北冷哼一声，看着赤城得意洋洋的样子，他就感到不爽。
12832	敏感词:漠北	“古月漠北。”很快，检测蛊师就叫道。
12834	敏感词:漠北	长着一副马脸的漠北，快步走出去。
12836	敏感词:漠北	“古月漠北，一转巅峰。”在这样的声音下，他又走了回来，在途中不甘示弱地瞟了古月赤城一眼。
12854	敏感词:漠北	“虽然是巅峰，但终究只是丙等资质，不足为虑。”漠北和赤城望了方源一眼，又很快转移了视线，看向仍旧站在队伍中的方正。
12880	敏感词:漠北	“了不起，这样一来漠北、赤城、方源都被他甩下去了。”
12882	敏感词:漠北	“这个方正！”一时间，漠北和赤城都震惊地望着方正。
12966	敏感词:漠尘	这时，族长古月博，当权家老古月赤练、古月漠尘等人，鱼贯而入。他们走到棚子下，依次坐下。
12968	敏感词:漠尘	“今年不仅族长亲临，还有赤练、漠尘两位老大人，都来了。”
12972	敏感词:漠尘	“这也不奇怪，赤练、漠尘的孙子都在此届。”
12978	敏感词:漠北	“弟弟，你可要好好表现啊。”漠颜望着人群中的漠北，心中默念着。她的小组人数最多，规模最为庞大。此时身边围着一圈蛊师，更彰显出了她的气势。
13002	敏感词:漠北	“下一战，古月金珠对决古月漠北。”一个擂台上，主持的蛊师高喊出声。
13004	敏感词:漠北	古月漠北一跃而上，古月金珠则一脸凝重地，顺着台阶，走了上去。
13010	敏感词:漠北	金珠虽是女孩，但基本功相当的扎实，短时间内竟然和漠北斗得个旗鼓相当。但是随着时间的推移，她体力渐渐不济，落入下风。
13014	敏感词:漠北	反观漠北，仍旧脸不红气不喘。
13016	敏感词:漠北	“增强耐力的蛊虫么，搞不好就是黄骆天牛蛊……”台下，方源观察着，顿时就看出了古月漠北的虚实。
13040	敏感词:漠北	赤城、漠北、方源、方正……
13066	敏感词:漠尘	就在这时，蛊师大喊道：“下一场，古月方正对战古月漠尘！”
13074	敏感词:漠尘	方正和漠尘双双走上了擂台。
13076	敏感词:漠北	“方正，别以为你有二转修为，我就会输！今天我就要越级挑战。”漠北咬着牙，脸色凝重，在心中默默地为自己打气。面对二转修为的方正，他的确感到了一股压力。
13080	敏感词:漠北	漠北心头一跳，这方正不按套路出牌啊。一般都是先对射，再拳脚。他这一次，居然一出手就冲过来，是想比拼拳脚吗？
13082	敏感词:漠北	“他不怕在比斗拳脚的时候，被我的月刃射伤吗？”漠北大为疑惑。
13086	敏感词:漠北	漠北连忙后退，企图拉开距离，同时手腕翻转，切出一记月刃。
13090	敏感词:漠北	漠北看着他掌中凝而不发的月光，心中不由地生出一股紧张情绪，连连后退。
13094	敏感词:漠北	漠北适应不了这样的战斗方式，顿时就陷入下风。
13102	敏感词:漠北	“小弟！”漠颜看着台上漠北被方正逼入下风，她一脸的担忧和焦急，真想上去帮忙，揍方正一顿。
13106	敏感词:漠北	方正接近漠北，将距离压缩到六米之后，就不再近身，而是使用月光蛊，进行对射。
13108	敏感词:漠北	漠北仓促应付，手忙脚乱，有好几次都差点被月刃扫中，险象环生。
13114	敏感词:漠北	看着漠北被自己如此压着打，方正的脑海里不由地就浮现出往昔。
13122	敏感词:漠北	漠北虽然极力挣扎，顽强抵抗，但是一刻钟后，他的身上已经增添了无数的伤口。涌出的血液，染红了他的衣衫。
13126	敏感词:漠北	“我还没有输！”漠北执拗地大叫着，他浑身浴血，摇摇晃晃。但挣扎了几下后，还是被上台的几位蛊师强制带下去治疗了。
13142	敏感词:漠北	赤城看着方正，干笑了两声道：“很好！方正，你败了漠北那小子，现在我击败你，就一举两得了。”
13152	敏感词:漠北	“嘿嘿嘿。”赤城得意地笑起来，“方正，你没有蛊虫增速，单靠两条腿，是追不上我的。这擂台虽然不大，但足够我腾挪的了。你的战术对付漠北有用，对我来讲，就失效了。”
13174	敏感词:漠尘	“看来方正，应该就是此届第一了。”在族长的身边，古月漠尘开口道。
13188	敏感词:漠北	“方正连续击败漠北、赤城，有勇有谋，看来此次第一非他莫属了。”有人赞叹着。
13192	敏感词:漠北	“方正是族长一系，漠北、赤城分别是漠脉、赤脉的未来掌权人。看来今后，古月一族将是族长一系力压两大家老了。”有人则看得更加深远。
13244	敏感词:漠北	“又是这招！”场下，漠北看着这情景，不禁咬牙切齿。他打定主意，回去之后一定要狠狠操练自己，将来把今日的这份屈辱十倍地送还给方正！
13284	敏感词:漠北	赤城、漠北则张大了嘴巴，惊愕看着方源匪夷所思地躲过一发发的月刃。
13716	作者话候选	酒虫的来源，方源已经营造了一个完美借口，但玉皮蛊一旦暴露，方源实在解释不了。因此必须秘密收藏起来，不能在众目睽睽之下使用。
13764	敏感词:漠尘	以古月赤练、古月漠尘为首的家老们，各个面容深沉，最多是有人皱了下眉头，但都没有阻止。
15262	敏感词:王大	野猪王大部分的皮肉都已经入了电狼的口腹。
15572	敏感词:漠北	“今天是集体悼念会，古月金珠死了，方源你知道吗？”漠北等一群少年路过这里，停下脚步。
15574	敏感词:漠北	除了漠北之外，还有方正、赤城等人。
15576	敏感词:漠北	漠北和赤城平时最不对路，但是今天，他们似乎忘记了彼此的恩怨，走在了一起。
15584	敏感词:漠北	曾经和漠北在擂台上斗了个旗鼓相当，后来因为体力不济而惜败。是个刻苦努力的女孩子。
17330	敏感词:漠北	而同龄人中，方正、漠北、赤城都毫无意外地开始展露头角了。
18126	敏感词:漠尘	对于他们来讲，哪怕得罪了古月赤练或者古月漠尘，也不愿得罪古月药姬。后者的影响力，仅次于族长古月博。
19176	敏感词:漠尘	“赤练家老说得很对。”古月漠尘点点头，他虽然是古月赤练的政敌，但是值此村子生死存亡的关键时刻，他彻底放下了往日的成见。
19534	敏感词:漠尘	古月赤练、古月漠尘听着这话，两人的脸色都有些难看。
23594	敏感词:王二	方正还未成长起来，自从王二的刺杀事件之后，家族中就委派了一位家老，时刻跟踪在方正身边，起到保护的作用。
25168	敏感词:漠尘	别看这通告中，漠脉、赤脉中的等等蛊师，乖溜溜地上缴了九叶生机草。似乎是牺牲了各自的利益。其实背地里，古月药姬早就和古月赤练、古月漠尘等家老，完成了暗中的利益交换。
26164	敏感词:漠尘	“这个方源，居然成就了三转！他区区丙等资质，竟然在这么短的时间里，有这样的成绩，实在是让人料想不到。”坐在左列首位的古月漠尘，心中感叹着。
26168	敏感词:漠尘	这豪奴的名字，古月漠尘已经不记得了。但是事后，方源碎尸送礼，给他留下了深刻的印象。
26180	敏感词:漠尘	“如果我提前招揽了他，这股冲击力就能为我所用，必能有政治优势。唉真是可惜了……”想到这里，古月漠尘不由地向对面瞄了一眼。
26332	敏感词:漠尘	古月漠尘心中很沉重。
26340	敏感词:漠尘	只是除了凝重之外，漠尘又有些疑惑。
26344	敏感词:漠尘	按照道理，古月赤练此时早就得瑟起来，向他漠尘投来轻蔑和得意的目光。但是此刻看他，却是一脸的阴沉，好像是吃了什么亏似的。
26350	敏感词:漠尘	古月漠尘百思不得其解。
26526	敏感词:漠北	他从未想过有这么一天，方源竟然晋升成了家老。那一届中，他最看好方正，然后是赤城和漠北。
26546	敏感词:漠尘	倒是古月漠尘，对方源如此表现，却并不奇怪。
27556	敏感词:王二	这只爱别离，就是当初王二所用。被家族剿杀后得到，一直珍藏在这里。
27630	敏感词:漠北	众人这才敢坐下。这些人，并非是全部同窗。譬如漠北、赤城等有深厚背景的，皆不再此列。
27790	作者话候选	“这兜率花是三转蛊，能存元石，也能藏其他东西。属于存储类三转蛊虫中的佼佼者，收藏的元石最多能有三万块。但考虑到也要储藏其他东西，那么最多能存一万五千的元石。”
29768	敏感词:漠尘	不过这倒让他逃过一劫。而他的老对手古月漠尘则跟随着族长追杀雷冠头狼，反而被狡电狈所杀。
30266	敏感词:漠尘	邓卜前文出现了一个错误“古月赤练”已经改为“古月漠尘”之前码字时，因为间隔时间较长，将这两人搞混了。造成了阅读障碍，向诸君道歉！>
30266	作者话候选	邓卜前文出现了一个错误“古月赤练”已经改为“古月漠尘”之前码字时，因为间隔时间较长，将这两人搞混了。造成了阅读障碍，向诸君道歉！>
30310	敏感词:漠尘	这个要求惹得古月漠尘大怒。
30320	敏感词:漠尘	他知道了漠尘的想法，就笃定他会妥协。而自己狮子大开口，无非是张口要价，坐地还钱罢了。
30322	敏感词:漠尘	“不过此事，利弊参半。虽然有了元石，可以喂给天元宝莲。但是自己原先退出政治漩涡的计划也被打乱了。今夜的酒席上，古月漠尘牺牲自己换取了我的政治前途。接下来，恐怕就会有各方家老的打压。”现在古月山寨的政治格局是：族长健在，双重臣之一的古月赤练身
30334	敏感词:漠尘	他想要脱离这场政治漩涡，但是古月漠尘却将他硬生生地拉回去。
30484	敏感词:漠尘	“老身觉得，要出使熊家，必须得有一个老成持重，经验丰富，可独当一面之人。在座的诸位当中，唯有漠尘家可担当此重任！”古月药姬忽然道。
30486	敏感词:漠尘	古月漠尘冷哼一声，立即反驳：“要说资格，药姬大人比老夫更加深厚。尤其在人望方面，老夫望尘莫及，甘拜下风。出使熊家寨，看来还得劳烦药姬大人出力了。”
30488	敏感词:漠尘	“漠尘家老所言极是，我亦推荐药姬大人。”一位家老站出来。
30490	敏感词:漠尘	“我反而觉得漠尘大人，更为适合。”另一位家老则立即出言反驳。
30548	敏感词:王二	“不错。这名魔道蛊师的真正身份，其实是山脚村子中的一名猎人。只是机源巧合，成了一名魔道蛊师。他名叫王二，之所以袭杀古月方正，却是因为方正的亲身哥哥方源！”说着，铁若男紧紧地逼视方源。
